Stage,Round,Leg,Conf 1,Conf 2,Date,Team 1,FT,HT,Team 2,ET,P
Playoff,Conf. Semifinals,2,West,Central,(Tue) 19 Sep 2000 (W38),LA Galaxy (34),5-2,?,Tampa Bay Mutiny (34),,
Playoff,Conf. Semifinals,3,Central,East,(Thu) 21 Sep 2000 (W38),Chicago Fire (35),6-0,?,New England Revolution (35),,
Playoff,Conf. Semifinals,3,West,West,(Sat) 23 Sep 2000 (W38),Sporting Kansas City (35),3-2,?,Colorado Rapids (35),,
Playoff,Conf. Finals,1,Central,East,(Mon) 25 Sep 2000 (W39),Chicago Fire (36),3-0,?,New York Red Bulls (35),,
Playoff,Conf. Finals,1,West,West,(Thu) 28 Sep 2000 (W39),Sporting Kansas City (36),0-0,?,LA Galaxy (35),,
Playoff,Conf. Finals,2,East,Central,(Fri) 29 Sep 2000 (W39),New York Red Bulls (36),2-0,?,Chicago Fire (37),,
Playoff,Conf. Finals,2,West,West,(Mon) 2 Oct 2000 (W40),LA Galaxy (36),1-1,?,Sporting Kansas City (37),2-1 (a.e.t.),
Playoff,Conf. Finals,3,Central,East,(Thu) 5 Oct 2000 (W40),Chicago Fire (38),3-2,?,New York Red Bulls (37),,
Playoff,Conf. Finals,3,West,West,(Thu) 5 Oct 2000 (W40),Sporting Kansas City (38),1-0,?,LA Galaxy (37),,
Playoff,Final,,Central,West,(Sat) 14 Oct 2000 (W41),Chicago Fire (39),0-1,?,Sporting Kansas City (39),,
